
9:42:36 AM, mexc: 0.004091, lbank: 0.004, spread:0.000091, percent: 2.27%
9:42:36 AM, mexc: 0.004085, lbank: 0.004, spread:0.000085, percent: 2.13%
9:42:37 AM, mexc: 0.004085, lbank: 0.00401, spread:0.000075, percent: 1.87%
9:42:40 AM, mexc: 0.004085, lbank: 0.00402, spread:0.000065, percent: 1.62%
9:42:43 AM, mexc: 0.004085, lbank: 0.004, spread:0.000085, percent: 2.13%
9:42:46 AM, mexc: 0.004089, lbank: 0.004, spread:0.000089, percent: 2.22%
9:42:49 AM, mexc: 0.004084, lbank: 0.004, spread:0.000084, percent: 2.1%
9:42:49 AM, mexc: 0.004042, lbank: 0.004, spread:0.000042, percent: 1.05%
9:42:52 AM, mexc: 0.004042, lbank: 0.00402, spread:0.000022, percent: 0.55%
9:42:55 AM, mexc: 0.004042, lbank: 0.004, spread:0.000042, percent: 1.05%
9:42:57 AM, mexc: 0.004042, lbank: 0.00399, spread:0.000052, percent: 1.3%
9:43:04 AM, mexc: 0.004044, lbank: 0.00399, spread:0.000054, percent: 1.35%
9:43:09 AM, mexc: 0.004044, lbank: 0.004, spread:0.000044, percent: 1.1%
9:43:13 AM, mexc: 0.004044, lbank: 0.00401, spread:0.000034, percent: 0.85%
9:43:13 AM, mexc: 0.004054, lbank: 0.00401, spread:0.000044, percent: 1.1%
9:43:15 AM, mexc: 0.004054, lbank: 0.004, spread:0.000054, percent: 1.35%
9:43:16 AM, mexc: 0.004054, lbank: 0.00402, spread:0.000034, percent: 0.85%
9:43:19 AM, mexc: 0.004054, lbank: 0.004, spread:0.000054, percent: 1.35%
9:43:21 AM, mexc: 0.004054, lbank: 0.00402, spread:0.000034, percent: 0.85%
9:43:24 AM, mexc: 0.00406, lbank: 0.00402, spread:0.00004, percent: 1%
9:43:25 AM, mexc: 0.00406, lbank: 0.004, spread:0.00006, percent: 1.5%
9:43:31 AM, mexc: 0.004055, lbank: 0.004, spread:0.000055, percent: 1.37%
9:43:34 AM, mexc: 0.004055, lbank: 0.00399, spread:0.000065, percent: 1.63%
9:43:38 AM, mexc: 0.004056, lbank: 0.00399, spread:0.000066, percent: 1.65%
9:43:40 AM, mexc: 0.004056, lbank: 0.004, spread:0.000056, percent: 1.4%
9:43:51 AM, mexc: 0.004056, lbank: 0.00399, spread:0.000066, percent: 1.65%
9:43:52 AM, mexc: 0.004056, lbank: 0.00402, spread:0.000036, percent: 0.9%
9:43:54 AM, mexc: 0.00406, lbank: 0.00402, spread:0.00004, percent: 1%
9:43:55 AM, mexc: 0.00406, lbank: 0.00401, spread:0.00005, percent: 1.25%
9:44:04 AM, mexc: 0.00406, lbank: 0.00402, spread:0.00004, percent: 1%
9:44:06 AM, mexc: 0.004067, lbank: 0.00402, spread:0.000047, percent: 1.17%
9:44:07 AM, mexc: 0.004067, lbank: 0.00399, spread:0.000077, percent: 1.93%
9:44:10 AM, mexc: 0.004067, lbank: 0.00401, spread:0.000057, percent: 1.42%
9:44:13 AM, mexc: 0.004067, lbank: 0.00399, spread:0.000077, percent: 1.93%
9:44:16 AM, mexc: 0.004067, lbank: 0.00401, spread:0.000057, percent: 1.42%
9:44:17 AM, mexc: 0.004063, lbank: 0.00401, spread:0.000053, percent: 1.32%
9:44:19 AM, mexc: 0.004063, lbank: 0.00398, spread:0.000083, percent: 2.09%
9:44:19 AM, mexc: 0.004066, lbank: 0.00398, spread:0.000086, percent: 2.16%
9:44:22 AM, mexc: 0.004066, lbank: 0.004, spread:0.000066, percent: 1.65%
9:44:25 AM, mexc: 0.004066, lbank: 0.00398, spread:0.000086, percent: 2.16%
9:44:28 AM, mexc: 0.004066, lbank: 0.00401, spread:0.000056, percent: 1.4%
9:44:30 AM, mexc: 0.004068, lbank: 0.00401, spread:0.000058, percent: 1.45%
9:44:31 AM, mexc: 0.004068, lbank: 0.00399, spread:0.000078, percent: 1.95%
9:44:33 AM, mexc: 0.004068, lbank: 0.00398, spread:0.000088, percent: 2.21%
9:44:37 AM, mexc: 0.004068, lbank: 0.00399, spread:0.000078, percent: 1.95%
9:44:42 AM, mexc: 0.004071, lbank: 0.00399, spread:0.000081, percent: 2.03%
9:44:43 AM, mexc: 0.004071, lbank: 0.004, spread:0.000071, percent: 1.77%
9:44:46 AM, mexc: 0.004071, lbank: 0.00399, spread:0.000081, percent: 2.03%
9:44:48 AM, mexc: 0.004068, lbank: 0.00399, spread:0.000078, percent: 1.95%
9:44:51 AM, mexc: 0.004068, lbank: 0.00398, spread:0.000088, percent: 2.21%
9:44:52 AM, mexc: 0.004068, lbank: 0.004, spread:0.000068, percent: 1.7%
9:44:55 AM, mexc: 0.004068, lbank: 0.00398, spread:0.000088, percent: 2.21%
9:44:58 AM, mexc: 0.004068, lbank: 0.00399, spread:0.000078, percent: 1.95%
9:45:01 AM, mexc: 0.004068, lbank: 0.004, spread:0.000068, percent: 1.7%
9:45:02 AM, mexc: 0.004066, lbank: 0.004, spread:0.000066, percent: 1.65%
9:45:04 AM, mexc: 0.004066, lbank: 0.00398, spread:0.000086, percent: 2.16%
9:45:10 AM, mexc: 0.004066, lbank: 0.004, spread:0.000066, percent: 1.65%
9:45:12 AM, mexc: 0.004065, lbank: 0.004, spread:0.000065, percent: 1.62%
9:45:13 AM, mexc: 0.004065, lbank: 0.00399, spread:0.000075, percent: 1.88%
9:45:19 AM, mexc: 0.004065, lbank: 0.00397, spread:0.000095, percent: 2.39%
9:45:22 AM, mexc: 0.004065, lbank: 0.00399, spread:0.000075, percent: 1.88%
9:45:24 AM, mexc: 0.00407, lbank: 0.00399, spread:0.00008, percent: 2.01%
9:45:25 AM, mexc: 0.00407, lbank: 0.00401, spread:0.00006, percent: 1.5%
9:45:27 AM, mexc: 0.00407, lbank: 0.00399, spread:0.00008, percent: 2.01%
9:45:31 AM, mexc: 0.00407, lbank: 0.00398, spread:0.00009, percent: 2.26%
9:45:34 AM, mexc: 0.00407, lbank: 0.004, spread:0.00007, percent: 1.75%
9:45:37 AM, mexc: 0.00407, lbank: 0.00399, spread:0.00008, percent: 2.01%
9:45:37 AM, mexc: 0.004071, lbank: 0.00399, spread:0.000081, percent: 2.03%
9:45:43 AM, mexc: 0.004071, lbank: 0.00398, spread:0.000091, percent: 2.29%
9:45:46 AM, mexc: 0.004071, lbank: 0.00397, spread:0.000101, percent: 2.54%
9:45:51 AM, mexc: 0.004071, lbank: 0.004, spread:0.000071, percent: 1.77%
9:45:51 AM, mexc: 0.004074, lbank: 0.004, spread:0.000074, percent: 1.85%
9:45:52 AM, mexc: 0.004074, lbank: 0.00398, spread:0.000094, percent: 2.36%
9:45:59 AM, mexc: 0.004075, lbank: 0.00398, spread:0.000095, percent: 2.39%
9:46:01 AM, mexc: 0.004075, lbank: 0.004, spread:0.000075, percent: 1.87%
9:46:07 AM, mexc: 0.004075, lbank: 0.00397, spread:0.000105, percent: 2.64%
9:46:07 AM, mexc: 0.004073, lbank: 0.00397, spread:0.000103, percent: 2.59%
9:46:13 AM, mexc: 0.004073, lbank: 0.00398, spread:0.000093, percent: 2.34%
9:46:19 AM, mexc: 0.004073, lbank: 0.004, spread:0.000073, percent: 1.83%
9:46:22 AM, mexc: 0.004073, lbank: 0.00398, spread:0.000093, percent: 2.34%
9:46:23 AM, mexc: 0.004078, lbank: 0.00398, spread:0.000098, percent: 2.46%
9:46:27 AM, mexc: 0.004078, lbank: 0.00399, spread:0.000088, percent: 2.21%
9:46:28 AM, mexc: 0.004078, lbank: 0.00398, spread:0.000098, percent: 2.46%
9:46:29 AM, mexc: 0.004077, lbank: 0.00398, spread:0.000097, percent: 2.44%
9:46:31 AM, mexc: 0.004077, lbank: 0.00399, spread:0.000087, percent: 2.18%
9:46:33 AM, mexc: 0.004077, lbank: 0.00397, spread:0.000107, percent: 2.7%
9:46:37 AM, mexc: 0.004077, lbank: 0.00399, spread:0.000087, percent: 2.18%
9:46:38 AM, mexc: 0.004081, lbank: 0.00399, spread:0.000091, percent: 2.28%
9:46:38 AM, mexc: 0.004088, lbank: 0.00399, spread:0.000098, percent: 2.46%
9:46:40 AM, mexc: 0.004088, lbank: 0.004, spread:0.000088, percent: 2.2%
9:46:45 AM, mexc: 0.004088, lbank: 0.00397, spread:0.000118, percent: 2.97%
9:46:46 AM, mexc: 0.004088, lbank: 0.00398, spread:0.000108, percent: 2.71%
9:46:51 AM, mexc: 0.004088, lbank: 0.00397, spread:0.000118, percent: 2.97%
9:46:52 AM, mexc: 0.004094, lbank: 0.00397, spread:0.000124, percent: 3.12%
9:47:00 AM, mexc: 0.004088, lbank: 0.00397, spread:0.000118, percent: 2.97%
9:47:00 AM, mexc: 0.004065, lbank: 0.00397, spread:0.000095, percent: 2.39%
9:47:01 AM, mexc: 0.004065, lbank: 0.00399, spread:0.000075, percent: 1.88%
9:47:04 AM, mexc: 0.004065, lbank: 0.00398, spread:0.000085, percent: 2.14%
9:47:07 AM, mexc: 0.004065, lbank: 0.00397, spread:0.000095, percent: 2.39%
9:47:10 AM, mexc: 0.004065, lbank: 0.00398, spread:0.000085, percent: 2.14%
9:47:14 AM, mexc: 0.004048, lbank: 0.00398, spread:0.000068, percent: 1.71%
9:47:20 AM, mexc: 0.00402, lbank: 0.00398, spread:0.00004, percent: 1.01%
9:47:21 AM, mexc: 0.004006, lbank: 0.00398, spread:0.000026, percent: 0.65%
